,mq2,mq3,mq8,mq135,mq136,mq137,mq131,mq9,scp1,scp2,scp3,scp4,scp5,scp6,scp7,scp8,scp9,scp10,scp11,scp12,scp13,scp14,scp15,scp16,scp17,scp18,target
200,76.939,488.343,690.220,27.118,24.648,28.829,137.423,71.567,431.906,175.553,289.595,119.894,205.373,301.000,266.004,292.450,509.036,153.403,133.923,40.358,35.175,25.890,62.705,112.535,47.984,34.003,1
201,76.936,488.911,691.110,27.136,24.675,28.857,137.351,71.555,431.906,175.553,289.595,119.894,205.373,301.000,266.004,291.921,507.900,153.860,133.923,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
202,77.002,488.781,691.404,27.115,24.705,28.869,137.478,71.544,431.906,175.553,289.595,119.894,204.567,301.000,266.004,291.921,509.036,153.403,133.923,40.358,35.175,25.890,62.705,112.535,47.984,34.003,1
203,76.777,487.668,689.651,27.256,24.608,28.800,137.156,71.562,431.906,175.553,289.595,119.894,204.567,301.000,266.004,291.921,509.036,153.403,133.923,40.358,35.175,25.890,62.705,112.535,47.984,34.003,1
204,76.928,487.863,690.210,27.062,24.638,28.835,137.162,71.600,431.094,175.553,289.595,119.894,204.567,301.000,266.004,292.450,509.036,153.860,133.923,40.358,35.175,25.890,62.705,112.535,47.984,34.003,1
205,76.935,487.821,691.102,27.063,24.656,28.878,137.225,71.559,431.094,175.553,289.595,119.894,204.567,301.000,266.004,291.921,509.036,153.403,133.923,40.358,35.175,25.890,62.705,112.535,47.984,34.003,1
206,76.811,487.689,690.105,27.036,24.622,28.812,137.043,71.595,431.094,175.553,289.595,119.894,204.567,301.000,266.004,291.921,509.036,153.403,133.923,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
207,76.879,487.894,690.813,27.039,24.664,28.848,137.099,71.640,431.094,175.553,289.595,119.894,204.567,301.000,266.004,291.921,509.036,153.403,133.923,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
208,76.940,488.195,691.468,27.042,24.656,28.853,136.952,71.640,431.094,175.553,289.595,119.894,204.567,301.000,266.004,291.921,509.036,153.403,132.885,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
209,76.728,488.164,681.598,26.955,24.563,28.859,136.744,71.601,431.094,175.553,289.595,119.894,204.567,301.000,266.004,291.921,509.036,153.403,133.923,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
210,76.816,487.464,690.149,26.967,24.592,28.815,136.693,71.709,431.094,175.553,289.595,119.894,204.567,301.000,265.459,292.450,509.036,153.403,132.885,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
211,76.871,487.469,690.867,26.968,24.590,28.828,136.868,71.764,431.094,175.553,289.595,119.894,204.567,301.000,266.004,291.921,507.900,153.403,133.923,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
212,76.812,487.105,689.344,26.932,24.594,28.806,136.715,71.693,431.094,175.553,289.595,119.894,204.567,301.000,266.004,291.921,509.036,153.403,133.923,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
213,76.848,487.396,690.867,26.966,24.595,28.826,136.693,71.741,430.282,175.553,289.595,119.894,204.567,301.000,265.459,291.921,507.900,153.403,133.923,40.358,35.175,25.890,62.705,112.535,47.984,34.003,1
214,76.848,487.888,691.409,26.962,24.579,28.851,136.749,71.726,430.282,175.553,289.595,119.894,204.567,301.000,266.004,291.921,509.036,153.403,133.923,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
215,76.713,486.445,689.298,26.895,24.870,28.500,136.294,71.723,430.282,175.553,289.595,119.894,204.567,301.000,266.004,291.921,509.036,153.860,132.885,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
216,76.805,486.518,689.554,26.890,24.513,28.767,136.318,71.819,430.282,175.553,289.595,119.894,204.567,301.000,265.459,291.921,507.900,153.403,133.923,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
217,76.863,486.880,690.330,26.916,24.541,28.800,136.478,71.849,430.282,175.553,289.595,119.894,204.567,301.000,265.459,291.921,509.036,153.403,132.885,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
218,76.840,487.254,690.886,26.911,24.546,28.808,136.259,71.836,430.282,175.553,288.646,119.894,204.567,301.000,266.004,291.921,509.036,153.403,133.923,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
219,76.567,484.749,686.952,26.771,24.439,28.696,135.786,71.901,430.282,174.584,288.646,119.894,204.567,301.000,265.459,291.391,507.900,153.403,134.962,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
220,76.709,486.193,689.436,26.841,24.502,28.766,136.027,71.944,430.282,174.584,289.595,119.894,203.762,301.000,266.004,291.391,507.900,153.403,133.923,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
221,76.809,486.524,689.507,26.872,24.531,28.789,136.027,71.947,430.282,175.553,288.646,119.894,203.762,301.000,266.004,291.391,507.900,152.947,132.885,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
222,76.822,486.442,690.103,26.839,24.540,28.821,136.055,71.950,429.470,175.553,288.646,119.894,204.567,301.000,265.459,291.391,507.900,153.403,132.885,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
223,76.828,486.555,690.693,26.855,24.531,28.828,136.027,71.933,429.470,174.584,288.646,119.894,203.762,301.000,265.459,291.391,507.900,153.403,132.885,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
224,76.890,486.941,691.168,26.857,24.539,28.834,136.082,71.923,429.470,175.553,288.646,119.894,204.567,301.000,265.459,291.921,507.900,153.403,133.923,40.358,35.175,25.890,62.705,112.535,47.353,34.003,1
