,mq2,mq3,mq8,mq135,mq136,mq137,mq131,mq9,scp1,scp2,scp3,scp4,scp5,scp6,scp7,scp8,scp9,scp10,scp11,scp12,scp13,scp14,scp15,scp16,scp17,scp18,target
200,69.024,372.640,685.372,21.864,18.967,22.212,131.583,57.434,642.988,257.026,427.271,170.375,262.555,349.101,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
201,69.075,372.249,685.433,21.859,18.963,22.176,131.456,57.388,642.176,257.026,427.271,170.375,262.555,349.830,295.984,316.821,560.167,168.469,151.572,45.622,39.083,29.126,73.454,134.808,54.929,38.725,0
202,69.024,372.103,685.082,21.844,18.952,22.180,131.290,57.406,642.988,257.026,427.271,170.375,262.555,349.830,295.984,316.821,560.167,168.469,151.572,45.622,39.083,29.126,73.454,134.808,54.929,38.725,0
203,69.000,371.809,685.021,21.825,18.942,22.157,131.156,57.395,642.176,257.026,427.271,170.375,262.555,349.101,295.439,316.291,560.167,168.469,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
204,68.759,371.444,685.021,21.824,18.934,22.154,131.041,57.367,642.988,257.026,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.126,73.454,134.808,54.929,38.725,0
205,68.921,371.444,685.436,21.801,18.927,22.152,131.048,57.362,642.988,257.026,427.271,170.375,262.555,349.830,295.439,316.821,560.167,168.469,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
206,68.931,371.346,684.959,21.794,18.945,22.162,130.864,57.383,642.988,257.026,427.271,170.375,262.555,349.830,295.984,316.821,560.167,168.469,151.572,45.622,39.083,29.126,73.454,134.808,54.929,38.725,0
207,68.914,370.957,684.959,21.774,18.895,22.128,131.068,57.357,642.176,256.056,427.271,170.375,262.555,349.830,295.984,316.821,560.167,168.469,151.572,45.622,38.302,29.126,73.454,134.808,54.929,38.725,0
208,68.921,370.909,685.017,21.777,18.882,22.131,130.851,57.329,642.988,256.056,427.271,170.375,262.555,349.101,295.984,316.291,561.303,168.469,152.610,45.622,38.302,29.126,73.454,134.808,54.929,38.725,0
209,68.886,371.005,684.956,21.775,18.870,22.126,130.719,57.347,642.988,257.026,427.271,170.375,262.555,349.830,295.984,316.821,560.167,168.469,152.610,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
210,68.815,370.568,684.840,21.758,18.868,22.136,130.763,57.315,642.176,256.056,427.271,170.375,262.555,349.830,295.984,316.821,560.167,168.469,152.610,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
211,68.891,370.495,684.776,21.750,18.855,22.115,130.662,57.300,642.988,257.026,427.271,170.375,262.555,349.830,295.439,316.821,560.167,168.469,152.610,45.622,39.083,29.126,73.454,134.808,54.929,38.725,0
212,68.849,370.301,685.011,21.733,18.847,22.110,130.637,57.292,642.176,257.026,427.271,170.375,262.555,349.830,295.984,316.821,560.167,168.469,150.534,45.622,39.083,29.126,73.454,134.808,54.929,38.725,0
213,68.824,370.010,684.479,21.721,18.872,22.100,130.497,57.270,642.176,256.056,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,152.610,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
214,68.841,369.938,684.599,21.705,18.827,22.104,130.416,57.290,642.176,257.026,427.271,170.375,262.555,349.830,295.984,316.821,560.167,168.469,152.610,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
215,68.882,369.768,684.718,21.697,18.808,22.093,130.315,57.281,642.176,257.026,427.271,170.375,262.555,349.101,295.984,316.291,560.167,168.469,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
216,68.785,369.672,684.479,21.693,18.803,22.080,130.208,57.267,641.364,257.026,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.126,73.454,134.808,54.929,38.725,0
217,68.787,369.574,684.657,21.675,18.794,22.075,130.182,57.332,642.176,257.026,427.271,170.375,262.555,349.830,295.984,316.821,560.167,168.469,152.610,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
218,68.706,369.526,684.721,21.675,18.794,22.079,130.094,57.318,642.176,257.026,427.271,170.375,262.555,349.830,295.984,316.821,560.167,168.469,152.610,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
219,68.798,369.357,684.721,21.667,18.789,22.046,130.003,57.286,642.176,256.056,427.271,170.375,262.555,349.830,295.984,316.291,560.167,168.469,152.610,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
220,68.791,369.406,684.782,21.658,18.794,22.079,130.051,57.304,642.988,256.056,427.271,170.375,262.555,349.830,295.984,316.291,560.167,168.469,152.610,45.622,38.302,29.126,73.454,134.808,54.929,38.725,0
221,68.835,369.068,684.428,21.650,18.758,22.066,129.957,57.286,642.988,256.056,427.271,170.375,262.555,349.101,295.984,316.291,560.167,168.013,150.534,45.622,39.083,29.935,72.558,134.808,54.929,38.725,0
222,68.753,368.995,684.605,21.637,18.777,22.065,129.975,57.290,642.176,256.056,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
223,68.798,368.778,684.602,21.631,18.762,22.045,129.950,57.311,642.988,256.056,427.271,170.375,262.555,349.101,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
224,68.669,368.633,684.302,21.635,18.767,22.064,129.781,57.286,642.176,257.026,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
225,68.712,368.416,684.244,21.610,18.738,22.044,129.724,57.297,642.176,257.026,427.271,170.375,262.555,349.101,295.439,316.291,561.303,168.013,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
226,68.791,368.537,684.248,21.606,18.732,22.038,129.525,57.311,642.176,256.056,427.271,170.375,262.555,349.101,295.439,316.291,560.167,168.469,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
227,68.733,368.224,684.476,21.598,18.721,22.041,129.557,57.296,641.364,256.056,427.271,170.375,262.555,349.101,295.984,316.821,561.303,168.013,151.572,45.622,39.083,29.935,72.558,134.808,54.929,38.725,0
228,68.624,368.176,684.067,21.593,18.706,22.030,129.451,57.318,641.364,256.056,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
229,68.740,367.959,684.244,21.575,18.702,22.029,129.375,57.297,642.176,256.056,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,152.610,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
230,68.770,367.935,684.064,21.557,18.667,22.022,129.382,57.308,642.176,256.056,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,152.610,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
231,68.678,367.814,684.003,21.562,18.707,22.027,129.345,57.325,642.176,256.056,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
232,68.701,367.694,684.000,21.556,18.701,22.026,129.159,57.357,641.364,256.056,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,152.610,45.622,39.083,29.126,72.558,134.808,54.929,38.725,0
233,68.753,367.358,684.000,21.548,18.673,22.017,129.110,57.307,642.176,257.026,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.126,73.454,134.808,54.929,38.725,0
234,68.708,367.454,683.823,21.544,18.680,22.018,128.955,57.333,641.364,257.026,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
235,68.731,367.334,683.875,21.532,18.675,22.018,128.869,57.311,642.176,256.056,427.271,170.375,262.555,349.101,295.984,316.821,560.167,168.469,150.534,45.622,39.083,29.935,72.558,134.808,54.929,38.725,0
236,68.757,367.190,683.890,21.531,18.655,22.017,128.813,57.325,641.364,257.026,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,152.610,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
237,68.630,366.855,684.183,21.524,18.646,22.008,128.813,57.336,641.364,256.056,427.271,170.375,262.555,349.830,295.984,316.821,560.167,168.013,151.572,45.622,39.083,29.935,72.558,134.808,54.929,38.725,0
238,68.712,366.951,684.174,21.510,18.639,22.000,128.672,57.322,642.176,257.026,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,152.610,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
239,68.776,366.711,683.939,21.505,18.649,22.011,128.635,57.434,642.176,256.056,426.322,170.375,262.555,349.830,295.984,316.821,560.167,168.013,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
240,68.692,366.879,683.884,21.499,18.643,22.018,128.505,57.308,642.176,257.026,426.322,170.375,262.555,349.830,295.984,316.821,561.303,168.013,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
241,68.722,366.592,683.765,21.501,18.636,22.005,128.560,57.351,641.364,256.056,426.322,170.375,262.555,349.830,295.984,316.821,561.303,168.469,152.610,45.622,39.083,29.126,73.454,134.808,54.929,38.725,0
242,68.667,366.424,683.704,21.486,18.630,21.996,128.328,57.336,642.176,256.056,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
243,68.863,366.640,683.826,21.479,18.624,22.013,128.370,57.357,641.364,256.056,426.322,170.375,262.555,349.830,295.984,316.821,561.303,168.013,150.534,45.622,39.083,29.126,72.558,134.808,54.929,38.725,0
244,68.718,366.185,683.646,21.469,18.617,22.014,128.217,57.332,642.176,257.026,426.322,170.375,262.555,349.830,295.984,316.821,561.303,168.013,152.610,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
245,68.718,366.185,683.527,21.471,18.619,22.010,128.195,57.301,641.364,257.026,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.126,72.558,134.808,54.929,38.725,0
246,68.698,365.994,683.347,21.470,18.627,22.001,128.145,57.343,641.364,256.056,427.271,170.375,263.360,349.830,295.984,316.821,561.303,168.469,152.610,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
247,68.619,365.827,683.524,21.454,18.606,21.983,127.985,57.354,641.364,257.026,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
248,68.677,365.660,683.405,21.456,18.606,21.997,127.960,57.340,642.176,257.026,427.271,170.375,262.555,349.830,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.935,72.558,134.808,54.929,38.725,0
249,68.694,365.731,683.640,21.446,18.594,21.991,127.943,57.378,641.364,257.026,427.271,170.375,263.360,349.830,296.530,316.821,560.167,168.469,152.610,45.622,39.083,29.126,72.558,134.808,54.929,38.725,0
250,68.643,365.612,683.478,21.430,18.589,22.009,127.771,57.357,641.364,256.056,427.271,170.375,263.360,349.830,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
251,68.698,365.636,683.289,21.445,18.603,21.990,127.826,57.347,641.364,256.056,426.322,170.375,262.555,349.830,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
252,68.714,365.374,683.402,21.440,18.597,21.994,127.735,57.336,641.364,257.026,427.271,170.375,263.360,349.830,295.984,316.821,561.303,168.469,151.572,45.622,39.083,29.126,73.454,134.808,54.929,38.725,0
253,68.664,365.112,683.109,21.426,18.578,21.990,127.596,57.340,641.364,257.026,426.322,170.375,262.555,349.830,295.984,316.821,561.303,168.469,152.610,45.622,39.083,29.935,73.454,134.808,54.929,38.725,0
