,mq2,mq3,mq8,mq135,mq136,mq137,mq131,mq9,scp1,scp2,scp3,scp4,scp5,scp6,scp7,scp8,scp9,scp10,scp11,scp12,scp13,scp14,scp15,scp16,scp17,scp18,target
200,68.388,465.804,672.811,26.770,25.488,28.893,130.843,67.968,344.226,144.516,238.322,97.357,171.547,265.288,231.664,253.245,438.589,135.597,118.351,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
201,68.414,465.716,673.443,26.758,25.489,28.912,130.741,67.966,344.226,144.516,238.322,97.357,171.547,265.288,231.664,253.775,438.589,135.141,119.389,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
202,68.308,465.322,672.660,26.724,25.442,28.845,130.682,67.990,344.226,144.516,238.322,97.357,171.547,265.288,231.664,253.245,438.589,135.597,121.465,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
203,68.368,465.465,672.981,26.735,25.462,28.900,130.632,68.032,344.226,144.516,238.322,97.357,171.547,265.288,231.664,253.775,438.589,135.597,120.427,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
204,68.467,465.907,673.508,26.709,25.458,28.898,130.554,68.026,344.226,144.516,238.322,97.357,171.547,265.288,231.664,253.245,438.589,135.597,118.351,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
205,68.327,465.476,672.527,26.684,25.435,28.876,130.487,68.062,344.226,144.516,238.322,97.357,171.547,265.288,231.664,253.245,438.589,135.141,121.465,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
206,68.467,465.639,673.212,26.683,25.467,28.881,130.417,68.080,344.226,144.516,238.322,97.357,171.547,265.288,231.119,253.245,438.589,135.141,119.389,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
207,68.438,465.786,673.228,26.674,25.416,28.904,130.448,68.109,344.226,144.516,238.322,97.357,171.547,265.288,231.664,253.245,438.589,135.141,119.389,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
208,68.300,464.986,671.618,26.604,25.374,28.814,130.158,68.107,343.414,144.516,238.322,97.357,171.547,265.288,231.664,253.245,438.589,135.597,121.465,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
209,68.428,465.535,672.750,26.616,25.416,28.885,130.069,68.182,344.226,144.516,238.322,97.357,171.547,265.288,231.119,253.245,438.589,135.141,120.427,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
210,68.441,465.882,673.159,26.616,25.451,28.883,130.007,68.226,343.414,144.516,237.373,97.357,171.547,266.017,231.119,253.245,438.589,135.141,121.465,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
211,68.387,465.278,672.182,26.577,25.402,28.859,129.794,68.180,343.414,144.516,238.322,97.357,171.547,265.288,231.664,253.245,438.589,135.141,120.427,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
212,68.408,465.613,673.098,26.581,25.442,28.885,129.861,68.243,343.414,144.516,237.373,97.357,171.547,265.288,231.119,253.245,438.589,135.141,121.465,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
213,68.461,465.760,673.508,26.581,25.438,28.885,129.761,68.240,343.414,144.516,237.373,97.357,171.547,265.288,231.664,253.245,438.589,135.141,119.389,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
214,68.376,467.338,671.395,26.513,25.343,28.819,129.398,68.231,343.414,144.516,237.373,97.357,171.547,265.288,231.119,253.245,438.589,135.141,121.465,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
215,68.408,465.300,672.511,26.560,25.393,28.859,129.463,68.296,343.414,144.516,237.373,97.357,171.547,265.288,231.664,253.245,438.589,135.141,119.389,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
216,68.539,465.753,673.407,26.556,25.432,28.894,129.455,68.340,343.414,144.516,237.373,97.357,171.547,265.288,231.119,253.245,438.589,135.141,119.389,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
217,68.561,464.921,672.758,26.521,25.392,28.868,129.327,68.272,343.414,144.516,237.373,97.357,171.547,265.288,231.119,252.715,438.589,135.141,119.389,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
218,68.489,465.664,673.739,26.532,25.418,28.895,129.371,68.279,343.414,144.516,237.373,97.357,171.547,265.288,231.664,252.715,438.589,135.141,121.465,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
219,68.592,465.786,673.857,26.532,25.425,28.900,129.294,68.292,342.602,144.516,237.373,97.357,171.547,265.288,231.119,252.715,438.589,135.141,118.351,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
220,68.447,464.412,673.800,26.445,25.351,28.841,129.078,68.311,342.602,144.516,237.373,97.357,171.547,265.288,231.664,253.245,438.589,135.141,120.427,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
221,68.553,465.076,673.037,26.512,25.374,28.876,129.104,68.390,342.602,144.516,237.373,97.357,170.741,265.288,231.119,252.715,437.453,135.141,119.389,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
222,68.535,465.421,673.569,26.502,25.391,28.903,129.081,68.354,342.602,144.516,237.373,97.357,171.547,265.288,231.664,252.715,437.453,135.141,120.427,35.094,31.267,23.463,53.747,98.468,41.670,32.114,2
223,68.465,465.259,673.655,26.489,25.347,28.862,128.961,68.388,342.602,144.516,237.373,97.357,171.547,264.559,231.119,252.715,437.453,135.141,121.465,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
224,68.502,465.300,673.386,26.484,25.384,28.897,128.830,68.385,342.602,144.516,237.373,97.357,170.741,265.288,231.119,252.715,437.453,135.141,120.427,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
225,68.563,465.639,674.036,26.498,25.391,28.914,128.921,68.354,342.602,144.516,237.373,97.357,171.547,265.288,231.119,252.715,437.453,135.141,120.427,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
226,68.487,464.456,672.456,26.426,25.323,28.919,128.599,68.368,342.602,144.516,237.373,97.357,170.741,264.559,231.119,252.715,437.453,135.141,121.465,35.094,31.267,23.463,53.747,98.468,41.670,32.114,2
227,68.563,465.274,672.944,26.441,25.349,28.891,128.543,68.420,342.602,144.516,237.373,97.357,170.741,265.288,231.119,252.715,437.453,135.141,119.389,35.533,31.267,23.463,53.747,97.296,41.670,32.114,2
228,68.592,465.525,673.971,26.460,25.361,28.901,128.444,68.379,342.602,144.516,237.373,97.357,170.741,264.559,231.119,252.715,437.453,135.141,119.389,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
229,68.579,465.086,673.236,26.431,25.329,28.882,128.287,68.418,342.602,144.516,237.373,96.456,170.741,264.559,231.119,253.245,437.453,135.141,121.465,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
