,mq2,mq3,mq8,mq135,mq136,mq137,mq131,mq9,scp1,scp2,scp3,scp4,scp5,scp6,scp7,scp8,scp9,scp10,scp11,scp12,scp13,scp14,scp15,scp16,scp17,scp18,target
200,81.269,522.367,663.909,28.910,26.348,29.917,142.849,72.967,358.027,139.667,223.131,90.146,156.244,241.966,225.668,257.483,454.496,142.902,129.771,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
201,81.205,521.906,663.328,28.901,26.351,29.935,142.837,72.972,358.839,139.667,223.131,90.146,155.439,241.966,225.668,257.483,454.496,142.902,128.733,36.849,32.830,24.272,56.434,105.502,44.196,33.058,3
202,81.345,522.266,663.214,28.904,26.348,29.950,142.829,72.988,358.027,139.667,223.131,90.146,155.439,241.966,225.123,257.483,454.496,142.902,127.694,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
203,81.164,521.805,663.098,28.908,26.325,29.943,142.691,73.042,358.027,139.667,223.131,90.146,155.439,241.966,225.123,257.483,454.496,142.902,128.733,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
204,81.173,521.617,663.156,28.891,26.328,29.939,142.751,73.169,358.027,139.667,223.131,90.146,155.439,241.966,225.123,257.483,454.496,142.902,127.694,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
205,81.209,521.876,663.385,28.906,26.345,29.956,142.555,73.121,357.216,139.667,223.131,90.146,155.439,241.966,225.123,257.483,454.496,142.902,128.733,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
206,81.333,521.428,662.982,28.896,26.330,29.962,142.539,73.175,357.216,139.667,223.131,90.146,155.439,241.966,225.123,257.483,454.496,142.902,129.771,36.849,32.830,24.272,56.434,105.502,44.196,33.058,3
207,81.292,521.357,662.753,28.895,26.325,29.978,142.484,73.152,358.027,139.667,223.131,90.146,155.439,241.966,225.123,257.483,454.496,142.902,127.694,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
208,81.323,521.370,662.696,28.879,26.328,29.969,142.460,73.191,358.027,139.667,223.131,90.146,155.439,241.966,225.123,257.483,454.496,142.902,129.771,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
209,81.273,521.328,662.638,28.896,26.343,29.985,142.468,73.236,357.216,138.697,223.131,90.146,155.439,241.966,225.123,256.954,454.496,142.902,127.694,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
210,81.273,521.617,662.810,28.894,26.345,29.992,142.441,73.296,357.216,138.697,223.131,90.146,155.439,241.966,225.123,257.483,454.496,142.902,129.771,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
211,81.246,521.039,663.272,28.910,26.322,30.002,142.346,73.330,357.216,138.697,223.131,90.146,155.439,241.966,225.123,256.954,454.496,142.902,128.733,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
212,81.383,521.010,662.582,28.884,26.318,29.981,142.311,73.348,357.216,139.667,223.131,90.146,155.439,241.966,225.123,256.954,454.496,142.902,129.771,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
213,81.318,520.939,662.638,28.886,26.340,30.004,142.190,73.328,357.216,138.697,223.131,90.146,155.439,241.966,225.123,256.954,454.496,142.902,128.733,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
214,81.241,520.780,662.523,28.876,26.333,30.019,142.268,73.367,357.216,138.697,223.131,90.146,155.439,241.966,225.123,257.483,454.496,142.902,129.771,36.849,32.830,24.272,56.434,105.502,44.196,33.058,3
215,81.250,520.822,662.236,28.884,26.368,30.033,142.268,73.406,357.216,138.697,222.181,90.146,155.439,241.966,225.123,256.954,454.496,142.902,128.733,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
216,81.301,520.968,662.581,28.883,26.337,30.028,142.214,73.406,357.216,138.697,223.131,90.146,155.439,241.966,225.123,256.954,454.496,142.902,129.771,36.849,32.830,24.272,56.434,105.502,44.196,33.058,3
217,81.323,520.709,662.349,28.871,26.340,30.038,142.070,73.414,357.216,138.697,222.181,90.146,155.439,241.966,225.123,256.954,454.496,142.902,127.694,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
218,81.346,520.780,662.523,28.886,26.337,30.036,142.124,73.438,357.216,138.697,222.181,90.146,155.439,241.966,225.123,256.954,453.360,142.902,128.733,36.849,32.830,24.272,56.434,105.502,44.196,33.058,3
219,81.305,520.292,662.005,28.876,26.340,30.044,142.038,73.459,356.404,138.697,222.181,90.146,155.439,241.966,225.123,256.954,453.360,142.902,127.694,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
220,81.235,520.271,662.408,28.881,26.313,30.047,141.995,73.490,356.404,138.697,222.181,90.146,155.439,241.966,225.123,256.954,454.496,142.902,127.694,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
221,81.328,520.451,662.351,28.876,26.337,30.040,141.949,73.543,356.404,138.697,222.181,90.146,155.439,241.237,225.123,256.954,454.496,142.902,129.771,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
222,81.329,520.050,662.060,28.862,26.345,30.087,141.976,73.556,356.404,138.697,222.181,90.146,155.439,241.237,225.123,256.954,453.360,142.446,126.656,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
223,81.319,520.150,661.889,28.883,26.330,30.049,141.863,73.592,356.404,138.697,222.181,90.146,155.439,241.237,225.123,256.954,454.496,142.902,128.733,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
224,81.392,520.321,661.889,28.861,26.318,30.040,141.808,73.607,357.216,138.697,222.181,90.146,155.439,241.966,225.123,256.954,454.496,142.902,127.694,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
225,81.333,519.705,661.601,28.853,26.318,30.058,141.723,73.637,356.404,138.697,222.181,90.146,155.439,241.966,225.123,256.954,454.496,142.902,128.733,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
226,81.342,519.547,661.487,28.868,26.322,30.070,141.757,73.628,356.404,138.697,222.181,90.146,155.439,241.237,225.123,256.954,454.496,142.902,129.771,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
227,81.401,519.189,661.144,28.855,26.304,30.072,141.669,73.763,356.404,138.697,222.181,90.146,155.439,241.966,225.123,256.954,454.496,142.902,128.733,36.849,32.830,25.081,56.434,105.502,44.196,33.058,3
228,81.365,519.160,661.256,28.856,26.312,30.063,141.602,73.759,357.216,138.697,222.181,90.146,155.439,241.966,225.123,256.954,453.360,142.902,129.771,36.849,32.830,24.272,56.434,105.502,44.196,33.058,3
