,mq2,mq3,mq8,mq135,mq136,mq137,mq131,mq9,scp1,scp2,scp3,scp4,scp5,scp6,scp7,scp8,scp9,scp10,scp11,scp12,scp13,scp14,scp15,scp16,scp17,scp18,target
200,90.880,575.983,684.805,34.029,35.698,37.439,144.134,83.611,437.589,209.500,370.302,142.430,232.756,305.372,261.644,280.265,503.355,151.577,142.229,42.113,37.520,27.508,66.288,125.430,54.929,38.725,6
201,91.020,575.784,684.985,34.007,35.684,37.458,144.200,83.617,437.589,209.500,370.302,142.430,232.756,305.372,261.644,280.265,502.218,151.577,141.191,42.113,36.738,27.508,66.288,125.430,54.929,38.725,6
202,90.964,575.916,684.867,34.036,35.680,37.430,144.246,83.606,437.589,209.500,370.302,142.430,232.756,305.372,261.644,280.265,503.355,151.577,142.229,42.113,37.520,27.508,66.288,126.602,54.929,38.725,6
203,90.985,576.017,684.800,34.000,35.685,37.450,144.224,83.560,437.589,209.500,370.302,142.430,232.756,305.372,261.644,279.735,502.218,151.577,141.191,42.113,37.520,27.508,66.288,125.430,54.929,38.725,6
204,91.037,576.015,684.688,34.011,35.690,37.436,144.047,83.533,437.589,209.500,370.302,142.430,232.756,305.372,261.644,280.265,503.355,151.577,142.229,42.113,37.520,27.508,66.288,125.430,54.929,38.725,6
205,90.948,576.113,684.864,33.998,35.690,37.465,144.060,83.509,437.589,208.530,370.302,142.430,232.756,305.372,261.644,280.265,503.355,151.577,142.229,42.113,37.520,27.508,66.288,125.430,54.929,38.725,6
206,90.995,576.149,684.629,33.995,35.684,37.460,144.065,83.464,437.589,209.500,370.302,142.430,232.756,305.372,261.644,280.265,503.355,152.033,142.229,42.113,37.520,27.508,66.288,125.430,54.929,38.725,6
207,90.969,576.281,684.508,34.002,35.680,37.434,143.957,83.404,437.589,208.530,369.352,142.430,232.756,305.372,261.644,280.265,502.218,151.577,141.191,42.113,37.520,27.508,66.288,125.430,54.929,38.725,6
208,90.943,576.247,684.569,33.976,35.672,37.443,143.933,83.389,437.589,209.500,370.302,142.430,232.756,305.372,261.644,279.735,502.218,151.577,142.229,42.113,37.520,27.508,66.288,125.430,54.929,38.725,6
209,90.917,576.678,684.633,33.981,35.688,37.439,143.986,83.383,437.589,208.530,370.302,142.430,231.950,304.644,261.644,279.735,502.218,151.577,141.191,42.113,37.520,27.508,66.288,125.430,54.929,38.725,6
210,90.980,576.413,684.333,33.970,35.678,37.422,143.912,83.379,436.777,208.530,369.352,142.430,231.950,304.644,261.644,279.735,502.218,151.577,142.229,42.113,36.738,27.508,66.288,125.430,54.929,38.725,6
211,90.969,576.709,684.031,33.967,35.683,37.455,143.941,83.388,436.777,208.530,369.352,142.430,231.950,305.372,261.644,279.735,502.218,151.577,142.229,42.113,37.520,27.508,66.288,125.430,54.929,38.725,6
212,90.912,576.843,684.151,33.970,35.668,37.432,143.920,83.392,437.589,208.530,369.352,142.430,231.950,304.644,261.644,279.735,502.218,151.577,139.114,42.113,37.520,27.508,66.288,125.430,54.929,38.725,6
213,90.875,576.577,683.972,33.962,35.685,37.432,143.830,83.335,436.777,208.530,369.352,142.430,231.950,304.644,261.644,279.735,502.218,151.577,142.229,42.113,37.520,27.508,66.288,125.430,54.929,38.725,6
214,90.885,576.743,683.974,33.992,35.732,37.423,143.793,83.380,436.777,208.530,369.352,142.430,231.950,304.644,261.099,280.265,502.218,151.577,141.191,42.113,37.520,27.508,66.288,125.430,54.929,38.725,6
