,mq2,mq3,mq8,mq135,mq136,mq137,mq131,mq9,scp1,scp2,scp3,scp4,scp5,scp6,scp7,scp8,scp9,scp10,scp11,scp12,scp13,scp14,scp15,scp16,scp17,scp18,target
175,86.324,546.909,673.792,31.423,31.134,35.820,135.223,82.529,364.522,205.621,390.241,146.937,235.172,301.000,233.299,267.020,463.586,150.207,129.771,40.358,36.738,26.699,60.913,114.880,57.454,39.670,7
176,86.358,546.909,673.795,31.429,31.145,35.813,135.304,82.495,364.522,205.621,390.241,146.937,235.172,300.271,233.299,267.020,463.586,150.207,128.733,40.358,36.738,26.699,60.913,114.880,57.454,39.670,7
177,86.306,546.891,673.909,31.434,31.120,35.809,135.161,82.456,364.522,205.621,390.241,146.937,235.172,301.000,233.299,266.490,462.450,150.207,128.733,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
178,86.499,546.658,673.795,31.413,31.105,35.827,135.223,82.499,364.522,205.621,390.241,146.937,235.172,300.271,233.299,266.490,462.450,150.207,129.771,40.358,36.738,26.699,60.913,114.880,57.454,39.670,7
179,86.402,546.708,673.618,31.406,31.133,35.818,135.123,82.478,364.522,205.621,390.241,146.937,235.172,301.000,233.299,266.490,463.586,150.207,128.733,40.358,36.738,26.699,60.913,114.880,57.454,39.670,7
180,86.424,546.891,673.795,31.412,31.109,35.813,135.164,82.493,364.522,204.651,390.241,146.937,235.172,300.271,233.299,266.490,463.586,150.207,129.771,40.358,36.738,26.699,60.913,114.880,57.454,39.670,7
181,86.433,546.775,673.795,31.420,31.141,35.813,135.134,82.493,364.522,205.621,390.241,146.937,235.172,301.000,233.299,266.490,463.586,150.207,129.771,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
182,86.455,546.591,673.561,31.414,31.113,35.811,135.073,82.566,364.522,205.621,390.241,146.937,235.172,301.000,233.299,266.490,463.586,150.207,128.733,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
183,86.323,546.607,673.621,31.409,31.117,35.822,135.040,82.560,364.522,205.621,390.241,146.937,235.172,300.271,233.299,266.490,463.586,150.207,130.809,40.358,36.738,26.699,60.913,114.880,57.454,39.670,7
184,86.402,546.358,673.678,31.412,31.111,35.834,135.065,82.674,363.710,205.621,390.241,146.937,235.172,300.271,233.299,266.490,462.450,150.207,130.809,39.919,36.738,27.508,60.913,114.880,57.454,39.670,7
185,86.345,546.491,673.267,31.406,31.139,35.806,134.941,82.617,363.710,205.621,390.241,146.937,235.172,300.271,233.299,266.490,462.450,150.207,128.733,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
186,86.503,546.209,673.083,31.401,31.102,35.822,134.999,82.644,363.710,205.621,390.241,146.937,235.172,300.271,233.299,266.490,462.450,150.207,129.771,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
187,86.398,546.574,673.444,31.409,31.128,35.829,134.951,82.634,363.710,205.621,390.241,146.937,235.172,300.271,233.299,266.490,463.586,149.751,128.733,40.358,36.738,26.699,60.913,114.880,57.454,39.670,7
188,86.376,546.125,673.146,31.387,31.102,35.825,134.885,82.670,363.710,205.621,390.241,146.937,235.172,300.271,232.754,266.490,462.450,149.751,127.694,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
189,86.354,546.008,673.032,31.406,31.117,35.815,134.903,82.589,362.898,204.651,390.241,146.937,235.172,300.271,232.754,265.960,462.450,150.207,130.809,40.358,36.738,26.699,60.913,114.880,57.454,39.670,7
190,86.380,546.308,673.327,31.401,31.137,35.811,134.910,82.598,362.898,204.651,390.241,146.937,234.367,300.271,232.754,265.960,462.450,149.751,121.465,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
191,86.389,545.991,673.093,31.382,31.091,35.815,134.753,82.587,362.898,204.651,390.241,146.937,234.367,300.271,232.754,266.490,462.450,149.751,128.733,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
192,86.393,545.991,672.858,31.379,31.085,35.808,134.794,82.556,362.898,204.651,390.241,146.937,234.367,300.271,232.754,265.960,462.450,149.751,130.809,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
193,86.340,545.791,673.039,31.389,31.104,35.815,134.801,82.544,362.087,204.651,390.241,146.937,234.367,300.271,232.754,265.960,462.450,149.751,129.771,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
194,86.437,545.841,673.093,31.384,31.121,35.820,134.728,82.572,362.898,204.651,390.241,146.937,234.367,300.271,232.754,265.960,462.450,149.751,129.771,40.358,36.738,26.699,60.913,114.880,57.454,39.670,7
195,86.415,545.991,672.801,31.395,31.091,35.811,134.685,82.545,362.898,204.651,390.241,146.937,234.367,300.271,232.754,265.960,462.450,149.751,128.733,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
196,86.340,546.107,673.267,31.373,31.110,35.806,134.670,82.536,362.087,204.651,390.241,146.937,234.367,300.271,232.754,265.960,462.450,149.751,128.733,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
197,86.323,545.858,672.684,31.370,31.087,35.804,134.597,82.511,362.087,204.651,390.241,146.937,234.367,300.271,232.754,265.960,462.450,149.751,128.733,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
198,86.323,545.808,672.567,31.363,31.093,35.797,134.589,82.507,362.087,204.651,390.241,146.036,234.367,300.271,232.754,265.960,462.450,149.751,129.771,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
199,86.331,545.991,672.684,31.384,31.034,35.755,134.604,82.484,362.087,204.651,390.241,146.937,234.367,300.271,232.754,265.960,462.450,149.751,130.809,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
200,86.432,545.874,672.684,31.362,31.094,35.806,134.620,82.478,362.087,204.651,390.241,146.937,234.367,300.271,232.754,265.960,462.450,149.751,130.809,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
201,86.328,545.791,672.213,31.354,31.106,35.801,134.549,82.490,362.087,204.651,389.292,146.937,234.367,299.542,232.754,265.960,462.450,149.751,128.733,39.919,36.738,26.699,60.913,114.880,57.454,39.670,7
