,mq2,mq3,mq8,mq135,mq136,mq137,mq131,mq9,scp1,scp2,scp3,scp4,scp5,scp6,scp7,scp8,scp9,scp10,scp11,scp12,scp13,scp14,scp15,scp16,scp17,scp18,target
200,88.393,573.923,692.894,33.991,33.835,36.353,147.051,83.590,401.867,214.350,407.332,146.937,253.696,326.508,291.079,316.821,499.946,151.577,149.496,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
201,88.081,573.295,692.465,33.984,33.863,36.348,146.940,83.588,401.867,214.350,407.332,146.937,253.696,326.508,291.079,316.821,499.946,151.577,150.534,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
202,88.343,573.383,692.711,33.955,33.865,36.336,146.875,83.601,401.867,214.350,407.332,146.937,253.696,326.508,291.079,316.821,499.946,151.577,149.496,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
203,88.293,573.243,692.708,33.944,33.836,36.419,147.051,83.540,401.056,214.350,407.332,146.937,252.890,326.508,291.079,316.821,499.946,151.577,149.496,51.325,38.302,29.126,67.183,126.602,63.768,39.670,8
204,88.298,573.087,692.650,33.955,33.845,36.334,146.867,83.530,401.056,213.380,407.332,146.937,253.696,326.508,291.079,316.821,501.082,151.577,150.534,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
205,88.266,573.052,692.471,33.950,33.837,36.329,146.822,83.487,401.056,213.380,407.332,146.937,253.696,326.508,291.079,316.821,499.946,151.577,150.534,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
206,88.212,572.791,692.412,33.930,33.835,36.350,146.859,83.305,401.056,213.380,407.332,146.937,252.890,326.508,291.079,316.821,499.946,151.577,149.496,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
207,88.220,572.669,692.415,33.920,33.841,36.346,146.728,83.330,401.056,213.380,407.332,146.937,252.890,326.508,291.079,316.291,499.946,151.577,149.496,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
208,88.162,573.000,692.714,33.918,33.843,36.338,146.834,83.334,401.056,213.380,407.332,146.937,253.696,326.508,291.079,316.821,499.946,151.577,149.496,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
209,88.243,573.052,692.412,33.910,33.823,36.334,146.773,83.254,400.244,213.380,407.332,146.937,252.890,326.508,291.079,316.821,499.946,151.577,150.534,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
210,88.143,573.278,692.230,33.897,33.815,36.343,146.846,83.229,400.244,213.380,407.332,146.937,252.890,326.508,291.079,316.821,499.946,151.577,149.496,51.325,38.302,29.126,67.183,126.602,63.768,39.670,8
211,88.184,572.878,692.353,33.892,33.785,36.322,146.707,83.122,400.244,213.380,406.382,146.937,252.890,326.508,291.079,316.821,499.946,151.577,149.496,51.325,38.302,29.126,67.183,126.602,63.768,39.670,8
212,88.152,573.000,692.227,33.925,33.838,36.319,146.711,83.103,400.244,213.380,407.332,146.937,252.890,326.508,291.079,316.821,499.946,151.577,149.496,51.325,38.302,29.126,67.183,126.602,63.768,39.670,8
213,88.057,572.704,692.236,33.871,33.769,36.357,146.625,83.152,400.244,213.380,406.382,146.937,252.890,326.508,291.079,316.821,499.946,151.577,150.534,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
214,88.066,572.391,691.992,33.855,33.763,36.317,146.720,83.055,399.432,213.380,406.382,146.937,252.890,326.508,291.079,316.821,499.946,151.577,149.496,51.325,38.302,29.126,67.183,126.602,63.768,39.670,8
215,88.093,572.617,691.810,33.858,33.773,36.310,146.597,83.049,399.432,213.380,407.332,146.937,252.890,326.508,291.079,316.821,499.946,151.577,148.458,51.325,38.302,29.126,67.183,126.602,63.768,39.670,8
216,88.170,572.339,691.748,33.861,33.741,36.305,146.605,83.015,399.432,213.380,406.382,146.937,252.890,326.508,291.079,316.821,499.946,151.577,150.534,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
217,88.121,572.304,691.807,33.844,33.731,36.310,146.507,83.015,399.432,212.410,406.382,146.937,252.890,325.779,291.079,316.821,499.946,151.577,151.572,51.325,38.302,29.126,67.183,126.602,63.768,39.670,8
218,88.016,572.113,691.687,33.839,33.707,36.298,146.581,83.070,399.432,212.410,406.382,146.036,252.890,325.779,291.079,316.291,499.946,151.577,150.534,51.325,39.083,29.126,67.183,126.602,63.768,39.670,8
219,88.016,571.957,691.807,33.835,33.713,36.296,146.552,83.061,398.620,212.410,406.382,146.937,252.890,326.508,291.079,316.821,499.946,151.120,149.496,51.325,38.302,29.126,67.183,126.602,63.768,39.670,8
220,88.016,571.992,691.872,33.838,33.706,36.315,146.617,83.079,398.620,212.410,406.382,146.937,252.890,326.508,291.079,316.821,499.946,151.577,151.572,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
221,88.080,571.853,691.628,33.825,33.706,36.274,146.560,83.034,397.808,212.410,406.382,146.937,252.890,325.779,291.079,316.821,499.946,151.577,149.496,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
222,88.094,571.974,691.989,33.823,33.693,36.305,146.524,83.070,398.620,212.410,406.382,146.036,252.890,325.779,291.079,316.821,499.946,151.120,151.572,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
223,87.858,571.557,691.751,33.822,33.692,36.305,146.512,83.018,398.620,212.410,406.382,146.937,252.890,326.508,291.079,316.821,499.946,151.120,150.534,51.325,38.302,29.126,67.183,126.602,63.768,39.670,8
224,88.021,571.488,691.869,33.808,33.670,36.308,146.535,82.948,397.808,212.410,406.382,146.036,252.890,325.779,291.079,316.821,499.946,151.120,151.572,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
225,88.016,571.783,692.115,33.808,33.670,36.298,146.499,83.015,398.620,212.410,406.382,146.036,252.890,325.779,291.079,316.291,499.946,151.120,150.534,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
226,87.984,571.714,691.866,33.811,33.668,36.291,146.528,82.959,397.808,212.410,406.382,146.036,252.890,325.779,291.079,316.291,499.946,151.120,151.572,51.325,38.302,29.126,67.183,126.602,63.768,39.670,8
227,87.984,571.645,691.992,33.811,33.658,36.284,146.532,82.988,397.808,212.410,406.382,146.036,252.890,325.779,291.079,316.821,499.946,151.120,149.496,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
228,87.930,571.437,691.628,33.794,33.632,36.279,146.389,82.917,397.808,212.410,406.382,146.036,252.890,325.779,291.079,316.291,499.946,151.120,151.572,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
229,87.971,571.506,691.927,33.797,33.646,36.291,146.454,82.950,397.808,212.410,406.382,146.036,252.890,325.779,290.534,316.291,499.946,151.120,150.534,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
230,87.957,571.454,692.112,33.790,33.630,36.277,146.471,82.935,396.996,212.410,405.433,146.036,252.890,325.779,291.079,316.821,499.946,151.120,151.572,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
231,88.016,570.899,691.566,33.776,33.638,36.282,146.344,82.978,397.808,211.440,405.433,146.036,252.890,325.779,291.079,316.291,499.946,151.120,151.572,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
232,87.871,570.899,691.813,33.780,33.610,36.279,146.312,82.978,396.996,211.440,405.433,146.036,252.085,325.779,290.534,316.291,499.946,151.120,151.572,51.325,38.302,29.126,66.288,126.602,63.768,39.670,8
233,87.953,571.194,691.754,33.778,33.634,36.270,146.389,83.003,396.996,211.440,405.433,146.036,252.890,325.779,291.079,316.291,499.946,151.120,151.572,50.886,38.302,29.126,66.288,126.602,63.768,39.670,8
234,88.034,570.934,691.625,33.753,33.614,36.282,146.324,83.011,396.996,211.440,405.433,146.036,252.085,325.779,291.079,316.821,501.082,151.120,151.572,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
235,87.835,571.315,691.622,33.764,33.602,36.277,146.259,82.999,396.184,211.440,405.433,146.036,252.085,325.050,290.534,316.291,499.946,151.120,149.496,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
236,87.835,571.090,692.106,33.762,33.580,36.263,146.267,83.007,396.996,211.440,405.433,146.036,252.085,325.779,290.534,316.291,499.946,151.120,150.534,50.886,38.302,29.126,66.288,126.602,63.768,39.670,8
237,87.907,571.090,691.329,33.751,33.600,36.260,146.088,82.882,396.184,211.440,405.433,146.036,252.085,325.050,290.534,316.291,499.946,151.120,149.496,50.886,39.083,29.126,66.288,126.602,63.768,39.670,8
238,87.772,570.848,691.144,33.739,33.574,36.244,146.243,83.122,396.184,211.440,405.433,146.036,252.085,325.050,290.534,316.291,499.946,151.120,149.496,51.325,38.302,29.126,66.288,126.602,63.768,39.670,8
239,87.889,570.589,691.394,33.750,33.585,36.267,146.146,83.034,396.184,211.440,405.433,146.036,252.085,325.050,290.534,316.291,499.946,151.120,149.496,50.886,38.302,29.126,66.288,126.602,63.768,39.670,8
240,87.880,570.363,691.273,33.735,33.579,36.265,146.166,83.068,396.184,211.440,405.433,146.036,252.085,325.050,290.534,316.291,499.946,151.120,151.572,50.886,38.302,29.126,66.288,126.602,63.768,39.670,8
241,87.830,570.571,691.147,33.739,33.592,36.255,146.141,83.061,396.184,211.440,405.433,146.036,252.085,325.779,290.534,316.291,499.946,151.120,149.496,50.886,38.302,29.126,66.288,126.602,63.768,39.670,8
242,87.876,570.675,691.452,33.727,33.547,36.248,146.097,83.049,395.373,211.440,405.433,146.036,252.085,325.050,290.534,316.291,499.946,151.120,149.496,50.886,38.302,29.126,67.183,126.602,63.768,39.670,8
243,87.862,570.710,691.212,33.727,33.571,36.258,146.121,83.117,395.373,211.440,405.433,146.036,252.085,325.050,290.534,316.291,499.946,151.120,149.496,51.325,38.302,29.126,66.288,126.602,63.768,39.670,8
244,87.826,570.328,690.904,33.710,33.565,36.246,145.995,83.051,395.373,211.440,405.433,146.036,252.085,325.050,290.534,316.291,499.946,151.120,151.572,50.886,38.302,29.126,66.288,126.602,63.768,39.670,8
245,87.898,570.848,690.968,33.710,33.571,36.244,146.032,83.055,395.373,211.440,405.433,146.036,252.085,325.050,290.534,316.291,499.946,151.120,149.496,50.886,38.302,29.126,66.288,126.602,63.768,39.670,8
246,87.953,570.969,691.209,33.719,33.563,36.251,146.040,83.028,395.373,211.440,404.484,146.036,252.085,325.050,290.534,316.291,499.946,151.120,149.496,51.325,38.302,29.126,66.288,126.602,63.768,39.670,8
247,87.844,570.398,690.728,33.709,33.543,36.265,145.951,82.965,395.373,211.440,404.484,146.036,252.085,325.050,290.534,316.291,499.946,151.120,150.534,50.886,38.302,29.126,66.288,126.602,63.768,39.670,8
248,87.826,570.363,691.030,33.717,33.497,36.213,145.809,83.003,395.373,211.440,404.484,146.036,252.085,325.050,290.534,316.291,499.946,150.664,151.572,50.886,38.302,29.126,66.288,126.602,63.768,39.670,8
249,87.830,570.571,690.787,33.704,33.574,36.239,145.817,82.963,394.561,211.440,404.484,146.036,252.085,325.050,290.534,316.291,499.946,151.120,150.534,50.886,38.302,29.126,66.288,126.602,63.768,39.670,8
250,87.803,570.571,691.150,33.703,33.537,36.260,145.914,82.957,395.373,210.470,404.484,146.036,252.085,325.050,290.534,316.291,499.946,150.664,151.572,50.886,39.083,29.126,66.288,126.602,63.768,39.670,8
251,87.830,570.328,691.273,33.700,33.553,36.241,145.930,82.932,394.561,210.470,404.484,146.036,252.085,325.050,290.534,316.291,499.946,150.664,151.572,50.886,39.083,29.126,66.288,126.602,63.768,39.670,8
252,87.844,570.605,690.972,33.707,33.539,36.263,145.939,82.913,394.561,210.470,404.484,146.036,252.085,325.050,290.534,316.291,499.946,150.664,151.572,51.325,39.083,29.126,66.288,126.602,63.768,39.670,8
253,87.776,570.605,690.787,33.689,33.541,36.246,145.833,82.935,393.749,210.470,404.484,146.036,252.085,325.050,290.534,316.291,499.946,150.664,149.496,50.886,39.083,29.126,66.288,126.602,63.768,39.670,8
254,87.758,570.622,690.722,33.704,33.531,36.279,145.926,82.938,394.561,210.470,404.484,146.036,251.280,325.050,290.534,316.291,499.946,150.664,151.572,50.886,38.302,29.126,66.288,125.430,63.768,39.670,8
255,87.853,570.622,690.907,33.701,33.531,36.255,145.926,82.913,393.749,210.470,404.484,146.036,251.280,325.050,290.534,316.291,499.946,150.664,151.572,51.325,38.302,29.126,66.288,126.602,63.768,39.670,8
256,87.858,570.466,690.725,33.684,33.513,36.267,145.849,82.868,394.561,210.470,404.484,146.036,251.280,325.050,290.534,316.291,499.946,150.664,148.458,51.325,38.302,29.126,66.288,125.430,63.768,39.670,8
257,87.821,570.813,690.965,33.690,33.525,36.272,145.987,82.883,393.749,210.470,404.484,146.036,251.280,324.322,290.534,316.291,499.946,150.664,149.496,51.325,39.083,29.126,66.288,125.430,63.768,39.670,8
