,mq2,mq3,mq8,mq135,mq136,mq137,mq131,mq9,scp1,scp2,scp3,scp4,scp5,scp6,scp7,scp8,scp9,scp10,scp11,scp12,scp13,scp14,scp15,scp16,scp17,scp18,target
200,87.576,570.410,694.289,33.637,33.486,35.766,148.420,81.167,428.659,228.898,434.867,162.262,266.582,342.542,252.922,274.967,505.627,146.555,150.534,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
201,87.609,570.326,694.168,33.637,33.488,35.745,148.395,81.158,427.847,228.898,434.867,162.262,266.582,342.542,252.922,274.967,505.627,146.555,151.572,43.429,39.083,29.126,69.871,132.463,57.454,38.725,9
202,87.627,570.242,694.110,33.640,33.488,35.757,148.313,81.156,427.847,228.898,434.867,162.262,266.582,342.542,252.922,274.967,505.627,146.555,150.534,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
203,87.539,570.542,694.101,33.658,33.492,35.754,148.296,81.118,427.847,228.898,434.867,162.262,265.777,342.542,252.922,274.967,505.627,146.098,151.572,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
204,87.539,570.291,694.043,33.652,33.502,35.773,148.276,81.076,427.847,228.898,434.867,162.262,266.582,342.542,252.922,274.437,505.627,146.555,150.534,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
205,87.549,570.396,693.922,33.641,33.486,35.688,148.288,81.004,427.847,228.898,434.867,162.262,266.582,342.542,252.922,274.437,505.627,146.098,150.534,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
206,87.525,569.899,694.105,33.648,33.468,35.735,148.350,81.024,427.847,228.898,434.867,162.262,265.777,342.542,252.377,274.437,505.627,146.555,150.534,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
207,87.558,570.339,693.980,33.641,33.508,35.738,148.231,80.935,427.035,228.898,434.867,162.262,265.777,342.542,252.377,274.437,505.627,146.098,151.572,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
208,87.502,570.291,694.289,33.654,33.492,35.724,148.202,80.854,427.035,228.898,434.867,162.262,265.777,342.542,252.377,274.437,505.627,146.098,150.534,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
209,87.415,569.696,693.806,33.639,33.486,35.745,148.173,80.848,426.223,228.898,434.867,162.262,265.777,342.542,252.377,274.437,504.491,146.098,151.572,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
210,87.452,569.780,693.985,33.649,33.478,35.721,148.165,80.783,427.035,228.898,434.867,162.262,265.777,342.542,252.377,274.437,505.627,146.098,150.534,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
211,87.507,569.710,693.854,33.635,33.508,35.712,148.194,80.764,426.223,228.898,433.918,162.262,265.777,342.542,252.377,274.437,504.491,146.098,149.496,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
212,87.452,569.864,694.038,33.653,33.492,35.742,148.177,80.753,426.223,228.898,434.867,162.262,265.777,342.542,252.377,274.437,504.491,146.098,150.534,43.429,39.083,29.126,69.871,132.463,57.454,38.725,9
213,87.687,569.877,694.105,33.630,33.492,35.719,148.202,80.717,426.223,227.929,434.867,162.262,265.777,341.813,252.377,274.437,504.491,146.098,148.458,43.429,39.083,29.126,69.871,132.463,57.454,38.725,9
214,87.456,569.885,693.922,33.605,33.458,35.733,148.173,80.653,426.223,227.929,434.867,162.262,265.777,341.813,252.377,274.437,504.491,146.098,151.572,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
215,87.442,569.318,693.854,33.608,33.516,35.676,148.078,80.687,426.223,228.898,434.867,162.262,265.777,341.813,252.377,274.437,504.491,146.098,150.534,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
216,87.456,569.327,693.743,33.606,33.462,35.707,147.980,80.647,426.223,227.929,434.867,162.262,265.777,341.813,252.377,274.437,504.491,146.098,150.534,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
217,87.424,569.388,693.864,33.591,33.482,35.709,148.062,80.662,426.223,227.929,433.918,162.262,265.777,341.813,252.377,273.907,504.491,146.098,150.534,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
218,87.304,569.494,693.806,33.589,33.442,35.712,148.062,80.622,425.411,227.929,434.867,162.262,265.777,342.542,252.377,274.437,504.491,146.098,150.534,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
219,87.133,568.835,693.864,33.597,33.450,35.715,147.997,80.642,426.223,227.929,433.918,162.262,265.777,341.813,252.377,273.907,504.491,146.098,151.572,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
220,87.387,568.997,693.680,33.580,33.426,35.691,147.989,80.682,426.223,227.929,433.918,162.262,265.777,341.813,251.832,273.907,503.355,146.098,151.572,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
221,87.332,568.984,693.680,33.575,33.472,35.711,147.910,80.651,426.223,227.929,433.918,162.262,265.777,341.813,251.832,273.907,504.491,146.098,151.572,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
222,87.304,569.186,693.559,33.574,33.432,35.714,147.841,80.651,425.411,227.929,434.867,162.262,265.777,341.813,251.832,273.907,504.491,146.098,149.496,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
223,87.359,568.997,693.927,33.560,33.450,35.695,147.861,80.719,426.223,227.929,434.867,162.262,265.777,341.813,251.832,273.907,504.491,146.098,150.534,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
224,87.336,568.949,693.859,33.563,33.450,35.698,147.833,80.732,425.411,227.929,434.867,162.262,265.777,341.813,251.832,273.907,504.491,146.098,150.534,43.429,39.083,29.935,69.871,132.463,57.454,38.725,9
